symbol,date,month,year,open,close,low,high,volume,return,daily_return,cum_return,sector
HDFCBANK,2024-07-19 05:30:00,2024-07,2024,1616.0,1607.3,1603.5,1623.0,13001076,-0.005383663366336662,-0.004644538023284572,1.0658134677232194,BANKING
HDFCBANK,2024-07-22 05:30:00,2024-07,2024,1617.0,1642.55,1612.65,1651.0,26872411,0.015800865800865774,0.021931188950413683,1.089188024269753,BANKING
HDFCBANK,2024-07-23 05:30:00,2024-07,2024,1647.55,1618.4,1605.0,1647.8,26001076,-0.01769293799884669,-0.014702748774770846,1.0731739663804258,BANKING
HDFCBANK,2024-07-24 05:30:00,2024-07,2024,1608.15,1604.05,1588.05,1621.0,30864103,-0.002549513416037146,-0.008866782006920482,1.0636583667650283,BANKING
HDFCBANK,2024-07-25 05:30:00,2024-07,2024,1593.0,1616.6,1593.0,1625.0,12767866,0.014814814814814758,0.007823945637604801,1.0719803720035814,BANKING
HDFCBANK,2024-07-26 05:30:00,2024-07,2024,1605.0,1618.15,1596.45,1621.75,21905270,0.00819314641744554,0.0009588024248423643,1.0730081893836418,BANKING
HDFCBANK,2024-07-29 05:30:00,2024-07,2024,1615.0,1605.05,1598.3,1631.85,25500574,-0.006160990712074332,-0.008095664802397873,1.064321474752164,BANKING
HDFCBANK,2024-07-30 05:30:00,2024-07,2024,1602.0,1615.55,1599.0,1634.75,27297917,0.008458177278401969,0.006541852278745264,1.071284108617089,BANKING
HDFCBANK,2024-07-31 05:30:00,2024-07,2024,1614.0,1615.75,1609.2,1627.9,18910242,0.0010842627013630732,0.00012379684937013913,1.071416730214516,BANKING
HDFCBANK,2024-08-01 05:30:00,2024-08,2024,1622.9,1638.8,1617.95,1650.05,13107587,0.009797276480374553,0.014265820826241615,1.086701369317994,BANKING
HDFCBANK,2024-08-02 05:30:00,2024-08,2024,1631.0,1659.15,1631.0,1670.5,22059619,0.017259350091968172,0.012417622650720217,1.100195616856206,BANKING
HDFCBANK,2024-08-05 05:30:00,2024-08,2024,1640.1,1615.75,1601.0,1646.0,20666817,-0.01484665569172606,-0.026157972455775558,1.0714167302145163,BANKING
HDFCBANK,2024-08-06 05:30:00,2024-08,2024,1630.0,1601.2,1593.3,1632.95,22558025,-0.01766871165644169,-0.00900510598793125,1.061768509001692,BANKING
HDFCBANK,2024-08-07 05:30:00,2024-08,2024,1617.0,1623.5,1602.2,1630.0,21173132,0.004019789734075448,0.013927054708968267,1.0765558171148182,BANKING
HDFCBANK,2024-08-08 05:30:00,2024-08,2024,1624.0,1642.7,1619.25,1653.3,16988475,0.01151477832512318,0.011826301201108835,1.0892874904678238,BANKING
HDFCBANK,2024-08-09 05:30:00,2024-08,2024,1652.0,1650.2,1645.8,1662.55,13322309,-0.0010895883777239433,0.004565654106045036,1.0942608003713417,BANKING
HDFCBANK,2024-08-12 05:30:00,2024-08,2024,1652.0,1660.1,1647.35,1675.95,19658098,0.004903147699757814,0.0059992728154161234,1.100825569443985,BANKING
HDFCBANK,2024-08-13 05:30:00,2024-08,2024,1628.0,1603.2,1601.15,1632.4,27027521,-0.015233415233415206,-0.034275043672067906,1.0630947249759635,BANKING
HDFCBANK,2024-08-14 05:30:00,2024-08,2024,1606.5,1607.8,1603.2,1613.7,16167214,0.000809212573918428,0.0028692614770458036,1.0661450217167876,BANKING
HDFCBANK,2024-08-16 05:30:00,2024-08,2024,1628.5,1632.1,1611.0,1634.15,13924623,0.002210623272950512,0.01511382012688145,1.0822585458041853,BANKING
HDFCBANK,2024-08-19 05:30:00,2024-08,2024,1637.65,1631.55,1623.7,1637.65,9751082,-0.003724849632094853,-0.0003369891550762949,1.0818938364112607,BANKING
HDFCBANK,2024-08-20 05:30:00,2024-08,2024,1627.45,1637.7,1627.45,1646.0,15567247,0.006298196565178654,0.003769421715546617,1.0859719505321452,BANKING
HDFCBANK,2024-08-21 05:30:00,2024-08,2024,1628.1,1625.8,1617.8,1634.55,23815452,-0.0014126896382285821,-0.007266288086951289,1.0780809654852304,BANKING
HDFCBANK,2024-08-22 05:30:00,2024-08,2024,1632.0,1631.3,1628.0,1638.3,10650319,-0.00042892156862747884,0.003382949932341006,1.0817280594144767,BANKING
HDFCBANK,2024-08-23 05:30:00,2024-08,2024,1634.0,1625.05,1623.0,1634.0,10166711,-0.005477356181150579,-0.003831300190032527,1.0775836344948786,BANKING
HDFCBANK,2024-08-26 05:30:00,2024-08,2024,1632.2,1639.95,1632.2,1647.95,11182133,0.004748192623453008,0.009168948647733988,1.0874639435032007,BANKING
HDFCBANK,2024-08-27 05:30:00,2024-08,2024,1643.4,1637.75,1632.2,1647.4,17886622,-0.0034379944018498787,-0.0013415043141559169,1.0860051059315021,BANKING
HDFCBANK,2024-08-28 05:30:00,2024-08,2024,1637.75,1637.1,1630.2,1639.75,13460594,-0.00039688597160744373,-0.00039688597160747463,1.085574085739864,BANKING
HDFCBANK,2024-08-29 05:30:00,2024-08,2024,1642.0,1638.55,1631.15,1644.4,24526302,-0.0021010962241169583,0.0008857125404679866,1.0865355923212108,BANKING
HDFCBANK,2024-08-30 05:30:00,2024-08,2024,1656.0,1636.9,1621.15,1662.0,222671050,-0.011533816425120719,-0.0010069878856304726,1.085441464142437,BANKING
HDFCBANK,2024-09-02 05:30:00,2024-09,2024,1646.8,1626.95,1623.2,1646.8,17024840,-0.01205367986397857,-0.006078563137638215,1.0788435396704368,BANKING
HDFCBANK,2024-09-03 05:30:00,2024-09,2024,1634.0,1637.35,1624.6,1639.95,18641430,0.002050183598531156,0.006392329204953917,1.085739862736648,BANKING
HDFCBANK,2024-09-04 05:30:00,2024-09,2024,1639.0,1641.8,1632.0,1644.8,12341372,0.0017083587553385934,0.0027178062112560575,1.0886906932794018,BANKING
HDFCBANK,2024-09-05 05:30:00,2024-09,2024,1646.0,1645.45,1642.0,1649.9,11438159,-0.00033414337788575607,0.0022231696918018073,1.0911110374324473,BANKING
HDFCBANK,2024-09-06 05:30:00,2024-09,2024,1638.3,1636.95,1634.1,1647.75,13014801,-0.0008240249038637057,-0.005165760126409236,1.0854746195417937,BANKING
HDFCBANK,2024-09-09 05:30:00,2024-09,2024,1638.0,1646.5,1630.1,1648.5,11896457,0.005189255189255189,0.005834020587067279,1.0918073008189395,BANKING
HDFCBANK,2024-09-10 05:30:00,2024-09,2024,1654.0,1650.35,1638.0,1654.0,13303323,-0.002206771463119765,0.0023382933495292857,1.0943602665694119,BANKING
HDFCBANK,2024-09-11 05:30:00,2024-09,2024,1650.4,1643.9,1639.2,1652.5,11113342,-0.003938439166262724,-0.003908261883842745,1.0900832200523867,BANKING
HDFCBANK,2024-09-12 05:30:00,2024-09,2024,1654.0,1666.6,1647.05,1670.0,16212023,0.007617896009673464,0.013808625828821697,1.1051357713603671,BANKING
HDFCBANK,2024-09-13 05:30:00,2024-09,2024,1674.0,1665.95,1657.05,1674.0,11930266,-0.0048088410991636524,-0.0003900156006239053,1.1047047511687291,BANKING
HDFCBANK,2024-09-16 05:30:00,2024-09,2024,1667.0,1670.95,1664.05,1677.8,7586410,0.0023695260947810713,0.003001290554938585,1.1080202911044077,BANKING
HDFCBANK,2024-09-17 05:30:00,2024-09,2024,1678.0,1668.8,1664.15,1678.0,10063561,-0.0054827175208581914,-0.0012866931984799601,1.106594608932066,BANKING
HDFCBANK,2024-09-18 05:30:00,2024-09,2024,1671.85,1694.8,1671.1,1698.9,20458671,0.01372730807189643,0.015580057526366264,1.1238354165975943,BANKING
HDFCBANK,2024-09-19 05:30:00,2024-09,2024,1699.2,1708.5,1699.15,1719.0,15325888,0.005473163841807883,0.008083549681378255,1.1329199960213534,BANKING
